index,name
169,Pedilanthus tithymaloides 紅雀珊瑚
170,Persicaria capitata 頭花蓼
171,Phlox drummondii 福祿考
172,Pistia stratiotes 大萍
173,Pluchea sagittalis 翼莖闊苞菊
174,Plumbago auriculata 藍雪花
175,Plumbago zeylanica 烏面馬
176,Polygonum chinense 火炭母草
177,Polygonum cuspidatum 虎杖
178,Polygonum multiflorum var. hypoleucum 台灣何首烏
179,Polygonum perfoliatum 扛板歸
180,Primula malacoides 報春花
181,Pseudocalymma alliaceum 蒜香藤
182,Psidium guajava 番石榴
183,Pueraria montana 山葛
184,Pyrostegia venusta 炮仗花
185,Pyrrosia lingua 石葦
186,Rhinacanthus nasutus 仙鶴草
187,Rhododendron leptosanthum 西施花
188,Rhododendron oldhamii 金毛杜鵑
189,Rhoeo spathacea 蚌蘭
190,Ricinus communis 蓖麻
191,Rivina humilis 數珠珊瑚
192,Rosa rugosa 玫瑰
193,Sagittaria trifolia 三腳剪
194,Salix babylonica 垂柳
195,Salix warburgii 水柳
196,Salvinia molesta 人厭槐葉蘋
197,Sambucus chinensis 冇骨消
198,Sandersonia aurantiaca 宮燈百合
199,Sansevieria trifasciata  虎尾蘭
200,Sapindus mukorossi 無患子
201,Sapium sebiferum 烏桕
202,Saurauia tristyla var. oldhamii 水冬瓜
203,Sechium edule 佛手瓜
204,Selaginella tamariscina 萬年松
205,Selaginella uncinata 藍地柏
206,Solanum diphyllum 瑪瑙珠
207,Solanum pseudocapsicum 珊瑚櫻
208,Soliva anthemifolia 假吐金菊
209,Spiraea prunifolia var. pseudoprunifolia 笑靨花
210,Sterculia nobilis 蘋婆
211,Swietenia macrophylla 大葉桃花心木
212,Syzygium jambos 蒲桃
213,Syzygium samarangense 蓮霧
214,Tamarindus indica 羅望子
215,Taraxacum officinale 西洋蒲公英
216,Terminalia catappa 欖仁
217,Terminalia mantaly 小葉欖仁
218,Ternstroemia gymnanthera 厚皮香
219,Theobroma cacao 可可樹
220,Thespesia populnea 繖楊
221,Thunbergia grandiflora 大鄧伯花
222,Thyrocarpus sampsonii 盾果草
223,Tibouchina semidecandra 巴西野牡丹
224,Tithonia diversifolia 王爺葵
225,Toona sinensis 香椿
226,Trichodesma calycosum 假酸漿
227,Tristellateia australasiae 三星果藤
228,Vernonia amygdalina 扁桃斑鳩菊
229,Vernonia cinerea 一枝香
230,Vitis vinifera 葡萄
231,Wedelia trilobata 南美蟛蜞菊
232,Wisteria sinensis 紫藤
233,Xanthium strumarium 羊帶來
234,Xanthosoma sagittifolium 千年芋
235,Yucca aloifolia 王蘭
236,Zantedeschia aethiopica 海芋
237,Zelkova serrata 櫸
238,Zephyranthes candida 蔥蘭
239,Ziziphus mauritiana 印度棗
